latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,year,month,day,dayofyear
19.31288,78.16685,319.04,0.41,0.37,2018-03-24,2016,N,VIIRS,n,2,296.18,1.83,N,0,2018,3,24,83
30.62779,77.81827,330.31,0.69,0.74,2024-05-29,852,N,VIIRS,l,2,302.49,4.91,D,0,2024,5,29,150
22.79603,86.20553,304.78,0.41,0.45,2013-05-26,1931,N,VIIRS,n,2,277.8,2.22,N,2,2013,5,26,146
17.69387,83.24288,306.28,0.41,0.37,2021-10-21,2011,N,VIIRS,n,2,289.3,1.61,N,2,2021,10,21,294
21.82695,77.22646,340.77,0.42,0.37,2020-05-21,753,N,VIIRS,l,2,312.42,4.56,D,0,2020,5,21,142
13.94723,79.0928,350.55,0.44,0.38,2012-03-11,809,N,VIIRS,n,2,312.71,7.56,D,0,2012,3,11,71
30.469,76.75476,336.51,0.61,0.53,2020-05-19,833,N,VIIRS,l,2,311.16,7.57,D,0,2020,5,19,140
24.59523,79.26694,346.32,0.39,0.44,2013-05-17,812,N,VIIRS,l,2,319.95,5.69,D,0,2013,5,17,137
23.7851,86.33834,300.97,0.36,0.57,2015-03-15,2039,N,VIIRS,n,2,288.92,1.52,N,2,2015,3,15,74
21.10655,72.64713,337.3,0.39,0.36,2015-02-10,831,N,VIIRS,n,2,307.69,2.23,D,2,2015,2,10,41
24.22246,82.98246,303.25,0.4,0.37,2018-03-30,2002,N,VIIRS,n,2,292.33,0.35,N,0,2018,3,30,89
29.92436,75.06035,331.79,0.4,0.44,2021-11-09,828,N,VIIRS,n,2,300.94,3.72,D,0,2021,11,9,313
22.18492,85.17961,305.46,0.47,0.4,2014-04-05,1948,N,VIIRS,n,2,293.72,1.14,N,0,2014,4,5,95
23.65912,86.44402,302.12,0.52,0.67,2015-05-28,1910,N,VIIRS,n,2,282.25,1.14,N,2,2015,5,28,148
19.1441,79.144,338.41,0.52,0.67,2015-05-21,713,N,VIIRS,n,2,305.89,3.28,D,0,2015,5,21,141
31.25027,76.93047,305.74,0.41,0.45,2014-08-12,2111,N,VIIRS,n,2,288.93,0.42,N,2,2014,8,12,224
15.17225,74.73826,345.45,0.4,0.37,2023-02-16,824,N,VIIRS,n,2,312.59,4.09,D,0,2023,2,16,47
30.3207,75.01229,338.07,0.42,0.38,2019-05-18,814,N,VIIRS,n,2,305.57,3.11,D,0,2019,5,18,138
20.67476,79.9809,305.02,0.39,0.36,2022-04-25,2022,N,VIIRS,n,2,294.74,0.53,N,0,2022,4,25,115
